No,Name,Pos,Status,Height,Inches,Random,Weight,Birthdate,Exp,College,Team
84,"Brown, Antonio",WR,ACT,"5'10""",70,0.491217079,185,7/10/1988,10,Central Michigan,OAK
82,"Rudolph, Kyle",TE,ACT,"6'6""",78,0.491092198,265,11/9/1989,9,Notre Dame,MIN
49,"Hassell, J.T.",DB,ACT,"5'11""",71,0.490765235,200,8/14/1995,0,Florida Tech,CLE
37,"Rivers, David",CB,ACT,"6'0""",72,0.490623015,185,7/23/1994,1,Youngstown State,MIA
61,"Tiuli, Jay-Tee",DT,ACT,"6'3""",75,0.490596632,340,1/14/1996,0,Eastern Washington,SEA
25,"Jackson, Adoree'",CB,ACT,"5'11""",71,0.490033043,185,9/18/1995,3,USC,TEN
58,"Onwualu, James",LB,ACT,"6'1""",73,0.48941925,235,9/4/1994,2,Notre Dame,JAX
54,"David, Lavonte",OLB,ACT,"6'1""",73,0.489407133,233,1/23/1990,8,Nebraska,TB
55,"Anderson, Jonathan",LB,ACT,"6'1""",73,0.489319144,240,10/27/1991,4,Texas Christian,NYG
67,"Murray, James",C,ACT,"6'5""",77,0.488468937,304,5/5/1995,2,Holy Cross,KC
86,"Schultz, Dalton",TE,ACT,"6'5""",77,0.488120388,260,7/11/1996,2,Stanford,DAL
34,"Hyde, Carlos",RB,ACT,"6'0""",72,0.487868826,229,9/20/1990,6,Ohio State,KC
45,"Rodgers-Cromartie, Dominique",CB,ACT,"6'2""",74,0.487284374,205,4/7/1986,12,Tennessee State,WAS
95,"Williams, Quinnen",DT,ACT,"6'3""",75,0.487232745,305,12/21/1997,0,Alabama,NYJ
70,"Massie, Bobby",OT,ACT,"6'6""",78,0.486827078,317,8/1/1989,8,Mississippi,CHI
39,"Countess, Blake",CB,ACT,"5'10""",70,0.486810001,191,8/8/1993,4,Auburn,PHI
22,"Scandrick, Orlando",DB,ACT,"5'10""",70,0.486397463,196,2/10/1987,12,Boise State,PHI
42,"Milligan, Rolan",DB,ACT,"5'10""",70,0.486151611,200,8/16/1994,1,Toledo,IND
39,"Wallace, Levi",DB,ACT,"6'0""",72,0.485839705,179,6/12/1995,2,Alabama,BUF
8,"Thorson, Clayton",QB,ACT,"6'4""",76,0.485195464,222,6/15/1995,0,Northwestern,PHI
,"Falemaka, Lo",C,RES,"6'5""",77,0.484814843,295,//,0,Utah,CLE
86,"Nelson, Kyle",LS,ACT,"6'2""",74,0.48447478,240,10/3/1986,8,New Mexico State,SF
94,"Mack, Daylon",DT,ACT,"6'1""",73,0.48412795,340,2/23/1997,0,Texas A&M,BAL
22,"Jackson, Kareem",DB,ACT,"5'10""",70,0.483975762,183,4/10/1988,10,Alabama,DEN
35,"Harris, Davontae",CB,ACT,"5'11""",71,0.483894015,200,1/21/1995,2,Illinois State,CIN
37,"Wilson, Donovan",DB,ACT,"6'0""",72,0.483869277,208,2/21/1995,0,Texas A&M,DAL
3,"Vizcaino, Tristan",K,ACT,"6'2""",74,0.483688904,205,7/31/1996,0,Washington,CIN
99,"McLendon, Steve",NT,ACT,"6'3""",75,0.483521036,310,1/3/1986,10,Troy,NYJ
21,"Davis, Sean",FS,ACT,"6'1""",73,0.483226325,202,10/23/1993,4,Maryland,PIT
19,"Golladay, Kenny",WR,ACT,"6'4""",76,0.483099898,213,11/3/1993,3,Northern Illinois,DET
26,"Bush, Deon",DB,ACT,"6'0""",72,0.482645745,205,8/14/1993,4,Miami (Fla.),CHI
34,"Decoud, Treston",DB,ACT,"6'2""",74,0.482305416,208,8/1/1993,2,Oregon State,DAL
61,"Sheehy, Conor",DE,ACT,"6'4""",76,0.481492294,295,7/24/1996,1,Wisconsin,PIT
72,"Pierschbacher, Ross",OG,ACT,"6'4""",76,0.481340101,315,5/5/1995,0,Alabama,WAS
60,"Puni, Derrick",OT,ACT,"6'5""",77,0.48080397,315,12/13/1994,0,Central Missouri State,DAL
63,"Foster, Jerald",OG,ACT,"6'3""",75,0.480757028,305,9/14/1995,0,Nebraska,WAS
1,"Sloter, Kyle",QB,ACT,"6'5""",77,0.480538519,218,2/7/1994,3,Northern Colorado,MIN
87,"Fant, Noah",TE,ACT,"6'4""",76,0.480098929,249,11/20/1997,0,Iowa,DEN
25,"Woods, Xavier",FS,ACT,"5'11""",71,0.479643068,208,7/26/1995,3,Louisiana Tech,DAL
22,"Neal, Keanu",SS,ACT,"6'0""",72,0.479195811,211,7/26/1995,4,Florida,ATL
1,"Farnsworth, Wes",LS,ACT,"6'1""",73,0.479178555,240,4/10/1997,0,Nevada,MIA
64,"Sanders, Trevon",DT,ACT,"6'2""",74,0.478894524,327,4/25/1997,0,Troy,NYJ
53,"Wilson, Ramik",ILB,ACT,"6'2""",74,0.478566127,237,8/19/1992,5,Georgia,JAX
72,"Ruble, Brock",OT,ACT,"6'8""",80,0.478437285,325,1/7/1996,0,Toledo,TB
61,"Long, Spencer",C,ACT,"6'5""",77,0.477898533,318,11/8/1990,6,Nebraska,BUF
21,"Evans, Justin",SS,ACT,"6'0""",72,0.477209777,199,8/26/1995,3,Texas A&M,TB
4,"Orchard, Nate",LB,ACT,"6'3""",75,0.47524144,251,1/5/1993,5,Utah,MIA
35,"Smith, Saivion",DB,ACT,"6'1""",73,0.475219092,199,11/5/1997,0,Alabama,JAX
51,"Hyder, Kerry",DE,ACT,"6'2""",74,0.47518661,275,5/2/1991,4,Texas Tech,DAL
53,"Bates, Daren",LB,ACT,"5'11""",71,0.474780381,225,11/27/1990,7,Auburn,TEN
50,"Flowers, Marquis",LB,ACT,"6'2""",74,0.474688653,250,2/16/1992,6,Arizona,WAS
13,"Beckham, Odell",WR,ACT,"5'11""",71,0.474588509,198,11/5/1992,6,LSU,CLE
61,"Lundblade, Brad",C,ACT,"6'3""",75,0.474450549,305,9/21/1995,1,Oklahoma State,CIN
88,"Dissly, Will",TE,ACT,"6'4""",76,0.473985136,265,7/8/1996,2,Washington,SEA
64,"Davis, Nate",OG,ACT,"6'3""",75,0.473859839,316,9/23/1996,0,North Carolina-Charlotte,TEN
42,"Line, Zach",FB,ACT,"6'1""",73,0.47369659,233,4/26/1990,7,Southern Methodist,NO
35,"McMillian, Travon",RB,ACT,"6'0""",72,0.473588603,209,2/5/1996,0,Colorado,PIT
17,"Hurd, Jalen",WR,ACT,"6'4""",76,0.472973035,230,1/23/1996,0,Baylor,SF
43,"Ebner, Nate",DB,ACT,"6'0""",72,0.472437917,215,12/14/1988,8,Ohio State,NE
8,"Sanchez, Rigoberto",P,ACT,"6'0""",72,0.472330971,195,9/8/1994,3,Hawaii,IND
89,"Davis, Rashard",WR,ACT,"5'9""",69,0.471957824,175,9/14/1995,1,James Madison,KC
37,"Sullivan, Tre",DB,ACT,"6'0""",72,0.471925857,200,12/21/1993,2,Shepherd,PHI
83,"Golden, Brittan",WR,ACT,"6'0""",72,0.471843862,195,7/20/1988,5,West Texas A&M,NYG
99,"Gotsis, Adam",DE,ACT,"6'4""",76,0.471780817,287,9/23/1992,4,Georgia Tech,DEN
94,"Lowry, Dean",DE,ACT,"6'6""",78,0.47156982,296,6/9/1994,4,Northwestern,GB
21,"Cravens, Su'a",DB,ACT,"6'1""",73,0.471079307,224,7/7/1995,3,USC,DEN
76,"Thompson, Jordan",DT,ACT,"6'3""",75,0.471068882,292,//,0,Northwestern,SF
94,"Vanderdoes, Eddie",DT,ACT,"6'3""",75,0.471002146,315,10/13/1994,3,UCLA,OAK
85,"Jones, Charles",TE,ACT,"6'4""",76,0.470999834,255,//,0,Tulane,JAX
13,"Renfrow, Hunter",WR,ACT,"5'10""",70,0.47027531,184,12/21/1995,0,Clemson,OAK
63,"Westerman, Christian",OG,ACT,"6'3""",75,0.470092961,315,2/23/1993,4,Arizona State,CIN
,"Catalina, Tyler",OG,ACT,"6'6""",78,0.469834589,315,1/24/1993,3,Georgia,MIN
87,"Rader, Kevin",TE,ACT,"6'4""",76,0.469526085,250,4/26/1995,1,Youngstown State,PIT
95,"Westbrooks, Ethan",DT,ACT,"6'4""",76,0.469138367,287,11/15/1990,6,West Texas A&M,OAK
32,"Elliott, DeShon",DB,ACT,"6'0""",72,0.469081793,210,4/21/1997,2,Texas,BAL
84,"Fulgham, Travis",WR,ACT,"6'2""",74,0.468961612,215,9/13/1995,0,Old Dominion,DET
4,"Tavecchio, Giorgio",K,ACT,"5'10""",70,0.468835456,180,7/16/1990,3,California,ATL
11,"Robinson, Demarcus",WR,ACT,"6'1""",73,0.468696349,203,9/21/1994,4,Florida,KC
41,"Long, David",LB,ACT,"5'11""",71,0.468284151,227,10/12/1996,0,West Virginia,TEN
60,"Givens, Kevin",DT,ACT,"6'1""",73,0.467032803,285,3/1/1997,0,Penn State,SF
50,"Evans, Jordan",OLB,ACT,"6'3""",75,0.466490209,242,1/27/1995,3,Oklahoma,CIN
34,"Jones, Taiwan",RB,ACT,"6'0""",72,0.465174044,195,7/26/1988,9,Eastern Washington,HOU
44,"Jansen, J.J.",LS,ACT,"6'2""",74,0.464982725,235,1/20/1986,12,Notre Dame,CAR
33,"Adams, Jamal",SS,ACT,"6'1""",73,0.46485811,213,10/17/1995,3,LSU,NYJ
66,"Cothran, Curtis",DT,ACT,"6'5""",77,0.464796375,283,2/24/1995,1,Penn State,MIN
99,"Slayton, Chris",DT,ACT,"6'4""",76,0.464513774,316,8/1/1996,0,Syracuse,NYG
98,"Joseph, Linval",DT,ACT,"6'4""",76,0.464485273,329,10/10/1988,10,East Carolina,MIN
18,"Wilkins, Manny",QB,ACT,"6'2""",74,0.46445477,193,11/5/1995,0,Arizona State,GB
6,"Ward, Greg",WR,ACT,"5'11""",71,0.463906743,190,7/12/1995,1,Houston,PHI
48,"Simmons, Josh",DB,CUT,"6'3""",75,0.463678143,206,7/1/1996,0,Canada,CHI
93,"Murphy, Trent",DE,ACT,"6'6""",78,0.462295085,260,12/22/1990,6,Stanford,BUF
63,"Isidora, Danny",OG,ACT,"6'3""",75,0.462019643,306,6/5/1994,3,Miami (Fla.),MIN
94,"Peko, Kyle",NT,ACT,"6'1""",73,0.46184922,305,7/23/1993,2,Oregon State,BUF
25,"Howard, Xavien",CB,ACT,"6'1""",73,0.461129823,198,7/4/1993,4,Baylor,MIA
48,"Davis, Deshaun",LB,ACT,"5'11""",71,0.460305897,236,12/31/1995,0,Auburn,CIN
35,"Waters, Herb",CB,RES,"6'2""",74,0.459838164,194,11/10/1992,2,Miami (Fla.),PIT
64,"Wicker, JoJo",DT,ACT,"6'2""",74,0.459693071,315,6/9/1996,1,Arkansas State,WAS
7,"Catanzaro, Chandler",K,ACT,"6'3""",75,0.459171816,200,2/26/1991,6,Clemson,NYJ
76,"Roemer, Tyler",OT,ACT,"6'6""",78,0.458853745,315,3/6/1998,0,San Diego State,OAK
92,"Hall, P.J.",DT,ACT,"6'0""",72,0.458776743,305,4/5/1995,2,Sam Houston State,OAK
7,"Fairbairn, Ka'imi",K,ACT,"6'0""",72,0.458406845,183,1/29/1994,4,UCLA,HOU
11,"Roberts, Seth",WR,ACT,"6'2""",74,0.458162875,195,2/22/1991,5,West Alabama,BAL
97,"Settle, Tim",DT,ACT,"6'3""",75,0.458098666,308,7/11/1997,2,Virginia Tech,WAS
40,"Weber, Mike",RB,ACT,"5'10""",70,0.457916004,210,8/27/1997,0,Ohio State,DAL
15,"Louis, Ricardo",WR,RES,"6'2""",74,0.457889653,215,3/23/1994,4,Auburn,MIA
97,"Allen, Zach",DE,ACT,"6'5""",77,0.457847221,285,8/20/1997,0,Boston College,ARI
93,"Philon, Darius",DT,ACT,"6'1""",73,0.457738548,286,1/22/1994,5,Arkansas,ARI
33,"Anderson, Rodney",RB,ACT,"6'0""",72,0.457407844,224,9/12/1996,0,Oklahoma,CIN
48,"Muhlbach, Don",LS,ACT,"6'4""",76,0.457348858,258,8/17/1981,16,Texas A&M,DET
97,"Mauro, Josh",DE,ACT,"6'6""",78,0.45704553,290,2/17/1991,6,Stanford,OAK
90,"Brown, Malcom",DT,ACT,"6'2""",74,0.456514272,320,2/2/1994,5,Texas,NO
31,"Jones, Byron",CB,ACT,"6'1""",73,0.456455258,200,9/26/1992,5,Connecticut,DAL
38,"Thomas, Shamarko",DB,ACT,"5'9""",69,0.456060442,205,2/23/1991,7,Syracuse,DEN
62,"Martin, Marcus",OG,ACT,"6'3""",75,0.456017806,320,11/29/1993,6,USC,SEA
58,"Wilber, Kyle",LB,ACT,"6'4""",76,0.456008505,240,4/26/1989,8,Wake Forest,OAK
88,"Thomas, Demaryius",WR,ACT,"6'3""",75,0.455626224,225,12/25/1987,10,Georgia Tech,NE
14,"Berrios, Braxton",WR,ACT,"5'9""",69,0.454966435,190,10/6/1995,2,Miami (Fla.),NE
78,"Dalton, Jalen",DE,ACT,"6'6""",78,0.454603638,300,8/4/1997,0,North Carolina,CHI
41,"Allen, Josh",DE,ACT,"6'5""",77,0.454517802,262,7/13/1997,0,Kentucky,JAX
93,"Jones, Justin",DT,ACT,"6'3""",75,0.454380768,309,8/28/1996,2,North Carolina State,LAC
15,"Pineiro, Eddy",K,ACT,"6'0""",72,0.453964015,185,9/13/1995,2,Florida,CHI
46,"Johnson, Jawuan",LB,ACT,"5'11""",71,0.453945631,224,//,0,Texas Christian,SEA
24,"McTyer, Torry",CB,ACT,"5'11""",71,0.453851927,188,4/10/1995,3,Nevada-Las Vegas,MIA
25,"Thompson, Darwin",RB,ACT,"5'8""",68,0.453582301,200,2/12/1997,0,Utah State,KC
35,"Henderson, De'Angelo Sr.",RB,ACT,"5'7""",67,0.453552277,208,11/24/1992,2,Coastal Carolina,MIN
18,"Dixon, Johnnie",WR,ACT,"5'11""",71,0.453433345,198,9/16/1994,0,Ohio State,HOU
,"Sprinkle, Tracy",DT,ACT,"6'2""",74,0.453339931,295,4/18/1995,0,Ohio State,CLE
75,"Fleming, Cameron",OT,ACT,"6'5""",77,0.453195883,320,9/3/1992,6,Stanford,DAL
62,"Applefield, Marcus",OT,ACT,"6'5""",77,0.452637047,308,12/15/1995,0,Virginia,BAL
91,"Moss, Avery",LB,ACT,"6'3""",75,0.452528562,266,9/16/1994,2,Youngstown State,NYG
86,"Slayton, Darius",WR,ACT,"6'1""",73,0.452419541,194,1/12/1997,0,Auburn,NYG
30,"Stewart, Orion",DB,RES,"6'2""",74,0.452372312,205,1/10/1994,1,Baylor,TB
77,"Carpenter, James",OG,ACT,"6'5""",77,0.451986597,321,3/22/1989,9,Alabama,ATL
14,"Pascal, Zach",WR,ACT,"6'2""",74,0.451910964,214,12/18/1994,2,Old Dominion,IND
34,"Cooper, Chris",DB,ACT,"5'10""",70,0.451836708,202,3/17/1994,1,Stony Brook,ATL
50,"Shazier, Ryan",LB,PUP,"6'1""",73,0.451735417,230,9/6/1992,6,Ohio State,PIT
84,"Godsil, Dan",LS,ACT,"6'3""",75,0.451657135,240,8/19/1996,0,Indiana,CIN
26,"Anderson, C.J.",RB,ACT,"5'8""",68,0.450909054,225,2/10/1991,7,California,DET
18,"Lewis, Roger",WR,ACT,"6'0""",72,0.45083759,203,11/27/1993,3,Bowling Green State,IND
31,"Simmons, Justin",FS,ACT,"6'2""",74,0.450377916,202,11/19/1993,4,Boston College,DEN
37,"Franklin, John",DB,ACT,"6'1""",73,0.449626363,186,9/21/1994,1,Florida Atlantic,CHI
84,"Kidsy, Darvin",WR,ACT,"6'0""",72,0.449081212,190,3/19/1995,1,Texas Southern,WAS
31,"Mostert, Raheem",RB,ACT,"5'10""",70,0.449025994,205,4/9/1992,5,Purdue,SF
78,"Tunsil, Laremy",OT,ACT,"6'5""",77,0.449008614,313,8/2/1994,4,Mississippi,MIA
,"Slye, Joey",K,ACT,"5'11""",71,0.448960171,213,4/10/1996,0,Virginia Tech,CAR
12,"Rodgers, Aaron",QB,ACT,"6'2""",74,0.448866224,225,12/2/1983,15,California,GB
54,"Bowser, Tyus",LB,ACT,"6'3""",75,0.4487723,242,5/23/1995,3,Houston,BAL
,"Ehinger, Parker",OG,ACT,"6'6""",78,0.447822258,310,12/30/1992,4,Cincinnati,ARI
92,"Johnson, Lyndon",DE,ACT,"6'5""",77,0.447769848,287,5/23/1994,1,Cincinnati,JAX
46,"Weeks, Jon",LS,ACT,"5'10""",70,0.447566331,242,2/17/1986,10,Baylor,HOU
18,"Kearse, Jermaine",WR,ACT,"6'1""",73,0.446524274,209,2/6/1990,8,Washington,DET
59,"Smith, Cameron",ILB,ACT,"6'2""",74,0.445758229,235,3/26/1997,0,USC,MIN
26,"Jackson, Darius",RB,ACT,"6'0""",72,0.445675544,230,12/1/1993,4,Eastern Michigan,DAL
32,"Carson, Tra",RB,ACT,"5'11""",71,0.44445979,228,10/24/1992,3,Texas A&M,GB
29,"Cruikshank, Dane",DB,ACT,"6'1""",73,0.444317112,209,4/27/1995,2,Arizona,TEN
94,"Malveaux, Cameron",LB,ACT,"6'5""",77,0.44405371,265,8/22/1994,2,Houston,ARI
29,"Moore, Kam",CB,EXE,"5'11""",71,0.443675273,203,10/1/1996,2,Boston College,NYG
24,"Webb, B.W.",CB,ACT,"5'11""",71,0.44338116,190,5/3/1990,6,William & Mary,CIN
99,"Buckner, DeForest",DT,ACT,"6'7""",79,0.442775172,295,3/17/1994,4,Oregon,SF
17,"Tannehill, Ryan",QB,ACT,"6'4""",76,0.441416974,217,7/27/1988,8,Texas A&M,TEN
59,"Reed, Malik",LB,ACT,"6'2""",74,0.440837657,235,8/5/1996,0,Nevada,DEN
37,"Smith, Derron",DB,ACT,"5'10""",70,0.440416693,195,2/4/1992,4,Fresno State,MIN
30,"Anderson, Bruce",RB,ACT,"5'11""",71,0.440330546,210,6/20/1997,0,North Dakota State,TB
71,"Schwartz, Mitchell",OT,ACT,"6'5""",77,0.439730553,320,6/8/1989,8,California,KC
21,"Peterson, Patrick",CB,ACT,"6'1""",73,0.439372692,203,7/11/1990,9,LSU,ARI
37,"Stephens, Linden",CB,ACT,"6'0""",72,0.439333201,193,3/21/1995,1,Cincinnati,DEN
45,"Jefferson, Malik",LB,ACT,"6'2""",74,0.439101214,241,11/15/1996,2,Texas,CIN
83,"Grayson, Cyril",WR,ACT,"5'9""",69,0.439022162,183,12/5/1993,1,LSU,NO
96,"Autry, Denico",DT,ACT,"6'5""",77,0.438918877,285,7/15/1990,6,Mississippi State,IND
7,"Smith, Geno",QB,ACT,"6'3""",75,0.438661017,221,10/10/1990,7,West Virginia,SEA
2,"Kessler, Cody",QB,ACT,"6'1""",73,0.437726986,215,5/11/1993,4,USC,PHI
72,"Leonard, Rick",OT,ACT,"6'7""",79,0.437700768,311,11/22/1996,1,Florida State,HOU
82,"Crowder, Jamison",WR,ACT,"5'9""",69,0.437459204,177,6/17/1993,5,Duke,NYJ
72,"Sharpe, David",OT,ACT,"6'6""",78,0.436973036,330,10/21/1995,3,Florida,OAK
57,"Wright, Gabe",DT,ACT,"6'3""",75,0.436785213,295,4/3/1992,3,Auburn,OAK
22,"Smith, Jimmy",CB,ACT,"6'2""",74,0.436761851,210,7/26/1988,9,Colorado,BAL
58,"Miller, Von",OLB,ACT,"6'3""",75,0.436352883,250,3/26/1989,9,Texas A&M,DEN
85,"Ellison, Rhett",TE,ACT,"6'5""",77,0.435584904,255,10/3/1988,8,USC,NYG
8,"Falk, Luke",QB,ACT,"6'4""",76,0.435342239,215,12/28/1994,2,Washington State,NYJ
20,"Wilkins, Jordan",RB,ACT,"6'1""",73,0.43487913,216,7/18/1994,2,Mississippi,IND
4,"Mannion, Sean",QB,ACT,"6'6""",78,0.434773435,230,4/25/1992,5,Oregon State,MIN
51,"Cole, Dylan",LB,ACT,"6'0""",72,0.434664157,237,5/19/1994,3,Missouri State,HOU
40,"Bierria, Keishawn",LB,ACT,"6'1""",73,0.434349283,223,7/26/1995,2,Washington,DEN
68,"Person, Mike",OG,ACT,"6'4""",76,0.434024705,305,6/17/1988,9,Montana State,SF
66,"Bergstrom, Tony",C,ACT,"6'5""",77,0.433971432,310,8/6/1986,8,Utah,WAS
16,"Wright, Matthew",K,ACT,"6'0""",72,0.433878672,179,3/22/1996,0,Central Florida,PIT
45,"Ferguson, Jaylon",LB,ACT,"6'5""",77,0.433777767,270,12/14/1995,0,Louisiana Tech,BAL
,"Nicolas, Dadi",LB,ACT,"6'3""",75,0.433195777,235,9/29/1992,3,Virginia Tech,IND
7,"Glennon, Mike",QB,ACT,"6'7""",79,0.432829326,225,12/12/1989,7,North Carolina State,OAK
50,"Miller, Christian",LB,ACT,"6'3""",75,0.432313164,245,6/19/1996,0,Alabama,CAR
19,"Samuel, Deebo",WR,ACT,"6'0""",72,0.431995721,215,1/15/1996,0,South Carolina,SF
79,"Ringo, Christian",DE,ACT,"6'1""",73,0.431901716,300,3/10/1992,4,Louisiana-Lafayette,CIN
8,"Collins, Jamie",OLB,ACT,"6'3""",75,0.43178447,255,10/20/1989,7,Southern Mississippi,NE
60,"Cann, A.J.",OG,ACT,"6'3""",75,0.431591001,315,10/23/1991,5,South Carolina,JAX
93,"Herron, Frank",DE,ACT,"6'4""",76,0.430902088,305,7/9/1994,1,LSU,TEN
20,"Sutton, Cameron",CB,ACT,"5'11""",71,0.430830379,188,2/27/1995,3,Tennessee,PIT
51,"Copeland, Brandon",OLB,ACT,"6'3""",75,0.430352868,263,7/2/1991,5,Pennsylvania,NYJ
22,"Melifonwu, Obi",DB,ACT,"6'4""",76,0.429873909,224,4/5/1994,3,Connecticut,NE
71,"Square, Damion",DE,ACT,"6'2""",74,0.429565792,293,2/6/1989,7,Alabama,LAC
5,"Walker, Phillip",QB,ACT,"5'11""",71,0.429274323,212,2/26/1995,1,Temple,IND
99,"Looney, James",DE,ACT,"6'3""",75,0.428268638,287,5/15/1995,2,California,GB
64,"Brossette, Nick",RB,ACT,"6'0""",72,0.427936199,212,3/2/1996,0,LSU,NE
97,"Atkins, Geno",DT,ACT,"6'1""",73,0.427528718,300,3/28/1988,10,Georgia,CIN
55,"Nelson, Corey",LB,ACT,"6'1""",73,0.427115451,226,4/22/1992,5,Oklahoma,TB
17,"Hardman, Mecole",WR,ACT,"5'10""",70,0.426708641,187,3/12/1998,0,Georgia,KC
98,"Crawford, Tyrone",DT,ACT,"6'4""",76,0.426518822,285,11/22/1989,8,Boise State,DAL
14,"Blackmon, Justin",WR,SUS,"6'1""",73,0.425894967,210,1/9/1990,2,Oklahoma State,JAX
67,"Silberman, Ian",OG,ACT,"6'5""",77,0.425659659,305,10/10/1992,3,Boston College,IND
51,"Minter, Kevin",LB,ACT,"6'0""",72,0.425542558,246,12/3/1990,7,LSU,TB
94,"Hubbard, Sam",DE,ACT,"6'5""",77,0.425272414,265,6/29/1995,2,Ohio State,CIN
68,"Britt, Justin",C,ACT,"6'6""",78,0.425246182,315,5/29/1991,6,Missouri,SEA
2,"Veasy, Jordan",WR,ACT,"6'3""",75,0.425233752,221,6/23/1995,1,California,IND
85,"Ebron, Eric",TE,ACT,"6'4""",76,0.424680404,253,4/10/1993,6,North Carolina,IND
45,"Richardson, Ellis",TE,ACT,"6'3""",75,0.424482993,240,2/12/1995,0,Georgia Southern,CHI
26,"Wilson, Jarrod",DB,ACT,"6'2""",74,0.424286437,210,2/9/1994,4,Michigan,JAX
57,"Ejiya, E.J.",LB,ACT,"6'1""",73,0.42369264,235,10/6/1995,0,North Texas,BAL
21,"Dennard, Darqueze",DB,ACT,"5'11""",71,0.42328924,200,10/10/1991,6,Michigan State,CIN
49,"Olawale, Jamize",RB,ACT,"6'1""",73,0.423123281,242,4/17/1989,7,North Texas,DAL
30,"Odum, George",DB,ACT,"6'1""",73,0.422523748,202,11/3/1993,2,Central Arkansas,IND
71,"Gwacham, Obum",DE,ACT,"6'5""",77,0.422390445,250,3/20/1991,4,Oregon State,IND
33,"James, Derwin",FS,ACT,"6'2""",74,0.422329051,215,8/3/1996,2,Florida State,LAC
82,"Auclair, Antony",TE,ACT,"6'6""",78,0.422127008,256,5/28/1993,3,Laval (Canada),TB
75,"Karras, Ted",OG,ACT,"6'4""",76,0.422111393,305,3/15/1993,4,Illinois,NE
74,"Robinson, Cam",OT,ACT,"6'6""",78,0.421813085,320,10/9/1995,3,Alabama,JAX
90,"Mitchell, Earl",DT,ACT,"6'3""",75,0.420867159,310,9/25/1987,10,Arizona,SEA
32,"Williams, Trayveon",RB,ACT,"5'8""",68,0.420565784,206,10/18/1997,0,Texas A&M,CIN
39,"Sigler, Tyler",DB,ACT,"6'2""",74,0.419987516,215,3/26/1996,0,Wheaton,ARI
45,"Lemmons, Bradford",CB,ACT,"6'1""",73,0.418741604,186,4/19/1996,0,Furman,LAC
37,"Herndon, Tre",CB,ACT,"5'11""",71,0.418238202,185,3/5/1996,2,Vanderbilt,JAX
82,"Moore, J'Mon",WR,ACT,"6'3""",75,0.418144294,205,5/23/1995,2,Missouri,GB
33,"Jackson, Michael",CB,ACT,"6'1""",73,0.417136753,210,1/10/1997,0,Miami (Fla.),DAL
55,"Clark, Frank",DE,ACT,"6'3""",75,0.416482404,260,6/14/1993,5,Michigan,KC
39,"Mitchell, Terrance",CB,ACT,"5'11""",71,0.415274107,191,5/17/1992,6,Oregon,CLE
63,"Deiter, Michael",OG,ACT,"6'6""",78,0.415271196,310,9/3/1996,0,Wisconsin,MIA
61,"Quessenberry, Scott",C,ACT,"6'4""",76,0.415268571,310,3/23/1995,2,UCLA,LAC
75,"Taylor, Jawaan",OT,ACT,"6'5""",77,0.414967212,312,11/25/1997,0,Florida,JAX
18,"Pettis, Dante",WR,ACT,"6'1""",73,0.414775569,195,10/23/1995,2,Washington,SF
46,"Holland, Jeff",LB,ACT,"6'2""",74,0.413432895,249,9/27/1995,1,Auburn,DEN
58,"Davis, Tae",LB,ACT,"6'1""",73,0.413376098,230,8/14/1996,2,Tennessee-Chattanooga,NYG
94,"Johnson, Jaleel",DT,ACT,"6'3""",75,0.413339184,316,7/12/1994,3,Iowa,MIN
65,"Ogunjobi, Larry",DT,ACT,"6'3""",75,0.413130376,305,6/3/1994,3,North Carolina-Charlotte,CLE
2,"Hoyer, Brian",QB,ACT,"6'2""",74,0.413028585,216,10/13/1985,11,Michigan State,NE
66,"McGovern, Connor",OG,ACT,"6'5""",77,0.412226692,316,11/3/1997,0,Penn State,DAL
62,"Brown, Chris",OG,ACT,"6'4""",76,0.41202068,322,4/26/1996,0,USC,LAC
58,"Milano, Matt",OLB,ACT,"6'0""",72,0.411843519,223,7/28/1994,3,Boston College,BUF
77,"Compton, Tom",OG,ACT,"6'6""",78,0.411151958,315,5/10/1989,7,South Dakota,NYJ
38,"Bryant, Brandon",DB,ACT,"6'0""",72,0.411020889,215,12/21/1995,1,Mississippi State,NYJ
31,"Williams, Darrel",RB,ACT,"5'11""",71,0.409173762,224,4/15/1995,2,LSU,KC
72,"Kush, Eric",OG,ACT,"6'4""",76,0.408397493,317,9/9/1989,7,California (PA),CLE
33,"Jones, Aaron",RB,ACT,"5'9""",69,0.407918333,208,12/2/1994,3,Texas-El Paso,GB
61,"Shelton, Coleman",C,ACT,"6'5""",77,0.407837315,299,7/28/1995,1,Washington,ARI
28,"Payne, D'Andre",DB,ACT,"5'10""",70,0.407822127,188,5/17/1996,0,Iowa State,TEN
46,"Chunn, Jordan",RB,ACT,"6'0""",72,0.407777571,230,1/2/1995,1,Troy,DAL
37,"Addae, Jahleel",SS,ACT,"5'10""",70,0.406722467,195,1/24/1990,7,Central Michigan,HOU
53,"Hitchens, Anthony",ILB,ACT,"6'0""",72,0.406650932,235,6/10/1992,6,Iowa,KC
67,"Boehm, Evan",OG,ACT,"6'3""",75,0.406193958,321,8/19/1993,4,Missouri,IND
21,"Trufant, Desmond",CB,ACT,"6'0""",72,0.406162857,190,9/10/1990,7,Washington,ATL
66,"Gordon, Dillon",OT,ACT,"6'4""",76,0.406151017,320,9/2/1993,3,LSU,CAR
